timestamp,category,lines,reason,location,text_snippet
2026-02-22 19:16:51,Delay,"2, 3",Mechanical (Doors),Multiple/System-wide,"Uptown 2/3 trains are delayed while we address a door problem on a train at 110 St-Malcolm X Plaza. Uptown trains are delayed while we address a door problem on a train at 110 St-Malcolm X Plaza . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or upda"
2026-02-22 19:11:46,Delay,"2, 4, 5, 6",Unknown,Multiple/System-wide,"Uptown 4/5/6 trains are delayed while we request NYPD for a person being disruptive on a train at 51 St. Uptown trains are delayed while we request NYPD for a person being disruptive on a train at 51 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe"
2026-02-22 18:58:32,Weather Prep,"2, A, D",Weather,Multiple/System-wide,"Downtown A/D trains are running local from 125 St to 59 St-Columbus Circle. Downtown trains are running local from 125 St to 59 St-Columbus Circle . What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscrib"
2026-02-22 18:20:29,Delay,"2, 6",Mechanical (Doors),Astor Place,"Downtown 6 trains are running with delays after we addressed a door problem on a train at Astor Place. Downtown trains are running with delays after we addressed a door problem on a train at Astor Place . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe"
2026-02-22 15:02:19,Weather Prep,"2, 4",Weather,Multiple/System-wide,"4 trains are running local in both directions in Brooklyn. trains are running local in both directions in Brooklyn. What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-22 14:33:53,Weather Prep,"2, F",Weather,Multiple/System-wide,"F trains are running with delays in both directions, uptown severely. trains are running with delays in both directions, uptown severely. What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update"
2026-02-22 14:33:09,Weather Prep,"2, 4, 5",Weather,Brooklyn Bridge,"Uptown 4/5 trains are running local from Brooklyn Bridge-City Hall to 125 St. Uptown trains are running local from Brooklyn Bridge-City Hall to 125 St . What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubs"
2026-02-22 14:25:47,Weather Prep,"2, F",Weather,Multiple/System-wide,"You may wait longer for an F train. You may wait longer for an train. What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-22 14:14:49,Delay,2,Medical/Police,Park Place,"Franklin Av Shuttle trains are delayed in both directions while we request EMS for someone in need of assistance on a train at Park Place. trains are delayed in both directions while we request EMS for someone in need of assistance on a train at Park Place . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer "
2026-02-22 14:04:19,Delay,"2, 6",Medical/Police,Grand Central,"Downtown 6 trains are running with delays after we requested EMS for someone in need of medical assistance on a train at Grand Central-42 St. Downtown trains are running with delays after we requested EMS for someone in need of medical assistance on a train at Grand Central-42 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your"
